FEET,INCHES,CM,CFS,GPM,LS
0.1,1.2,3.048,0.0295,13.2396,0.8353456
0.11,1.32,3.3528,0.0341,15.30408,0.96560288
0.12,1.44,3.6576,0.0393,17.63784,1.11285024
0.13,1.56,3.9624,0.0448,20.10624,1.26859264
0.14,1.68,4.2672,0.0509,22.84392,1.44132512
0.15,1.8,4.572,0.0573,25.71624,1.62255264
0.16,1.92,4.8768,0.0643,28.85784,1.82077024
0.17,2.04,5.1816,0.0718,32.22384,2.03314624
0.18,2.16,5.4864,0.0797,35.76936,2.25684896
0.19,2.28,5.7912,0.0882,39.58416,2.49754176
0.2,2.4,6.096,0.0972,43.62336,2.75239296
0.21,2.52,6.4008,0.1068,47.93184,3.02423424
0.22,2.64,6.7056,0.1169,52.46472,3.31023392
0.23,2.76,7.0104,0.1275,57.222,3.610392
0.24,2.88,7.3152,0.1387,62.24856,3.92754016
0.25,3,7.62,0.1506,67.58928,4.26451008
0.26,3.12,7.9248,0.163,73.1544,4.6156384
0.27,3.24,8.2296,0.176,78.9888,4.9837568
0.28,3.36,8.5344,0.1897,85.13736,5.37169696
0.29,3.48,8.8392,0.2039,91.51032,5.77379552
0.3,3.6,9.144,0.2189,98.24232,6.19854752
0.31,3.72,9.4488,0.2344,105.19872,6.63745792
0.32,3.84,9.7536,0.2507,112.51416,7.09902176
0.33,3.96,10.0584,0.2676,120.09888,7.57757568
0.34,4.08,10.3632,0.2852,127.99776,8.07595136
0.35,4.2,10.668,0.3035,136.2108,8.5941488
0.36,4.32,10.9728,0.3225,144.738,9.132168
0.37,4.44,11.2776,0.3422,153.57936,9.69000896
0.38,4.56,11.5824,0.3626,162.73488,10.26767168
0.39,4.68,11.8872,0.3838,172.24944,10.86798784
0.4,4.8,12.192,0.4058,182.12304,11.49095744
0.41,4.92,12.4968,0.4285,192.3108,12.1337488
0.42,5.04,12.8016,0.4519,202.81272,12.79636192
0.43,5.16,13.1064,0.4762,213.71856,13.48446016
0.44,5.28,13.4112,0.5012,224.93856,14.19238016
0.45,5.4,13.716,0.527,236.5176,14.9229536
0.46,5.52,14.0208,0.5537,248.50056,15.67901216
0.47,5.64,14.3256,0.5811,260.79768,16.45489248
0.48,5.76,14.6304,0.6094,273.49872,17.25625792
0.49,5.88,14.9352,0.6385,286.5588,18.0802768
0.5,6,15.24,0.6685,300.0228,18.9297808
0.51,6.12,15.5448,0.6993,313.84584,19.80193824
0.52,6.24,15.8496,0.731,328.0728,20.6995808
0.53,6.36,16.1544,0.7635,342.6588,21.6198768
0.54,6.48,16.4592,0.797,357.6936,22.5684896
0.55,6.6,16.764,0.8313,373.08744,23.53975584
0.56,6.72,17.0688,0.8666,388.93008,24.53933888
0.57,6.84,17.3736,0.9027,405.13176,25.56157536
0.58,6.96,17.6784,0.9398,421.78224,26.61212864
0.59,7.08,17.9832,0.9777,438.79176,27.68533536
0.6,7.2,18.288,1.017,456.4296,28.7981856
0.61,7.32,18.5928,1.057,474.3816,29.9308576
0.62,7.44,18.8976,1.097,492.3336,31.0635296
0.63,7.56,19.2024,1.139,511.1832,32.2528352
0.64,7.68,19.5072,1.182,530.4816,33.4704576
0.65,7.8,19.812,1.226,550.2288,34.7163968
0.66,7.92,20.1168,1.27,569.976,35.962336
0.67,8.04,20.4216,1.316,590.6208,37.2649088
0.68,8.16,20.7264,1.363,611.7144,38.5957984
0.69,8.28,21.0312,1.41,632.808,39.926688
0.7,8.4,21.336,1.459,654.7992,41.3142112
0.71,8.52,21.6408,1.509,677.2392,42.7300512
0.72,8.64,21.9456,1.56,700.128,44.174208
0.73,8.76,22.2504,1.611,723.0168,45.6183648
0.74,8.88,22.5552,1.664,746.8032,47.1191552
0.75,9,22.86,1.718,771.0384,48.6482624
0.76,9.12,23.1648,1.773,795.7224,50.2056864
0.77,9.24,23.4696,1.829,820.8552,51.7914272
0.78,9.36,23.7744,1.886,846.4368,53.4054848
0.79,9.48,24.0792,1.944,872.4672,55.0478592
0.8,9.6,24.384,2.004,899.3952,56.7468672
0.81,9.72,24.6888,2.064,926.3232,58.4458752
0.82,9.84,24.9936,2.125,953.7,60.1732
0.83,9.96,25.2984,2.188,981.9744,61.9571584
0.84,10.08,25.6032,2.252,1010.6976,63.7694336
0.85,10.2,25.908,2.316,1039.4208,65.5817088
0.86,10.32,26.2128,2.382,1069.0416,67.4506176
0.87,10.44,26.5176,2.449,1099.1112,69.3478432
0.88,10.56,26.8224,2.518,1130.0784,71.3017024
0.89,10.68,27.1272,2.587,1161.0456,73.2555616
