site_no,datetime,Q cfs
3508050,1/1/17,129
3508050,1/2/17,107
3508050,1/3/17,166
3508050,1/4/17,244
3508050,1/5/17,144
3508050,1/6/17,98.8
3508050,1/7/17,140
3508050,1/8/17,361
3508050,1/9/17,313
3508050,1/10/17,195
3508050,1/11/17,201
3508050,1/12/17,181
3508050,1/13/17,165
3508050,1/14/17,165
3508050,1/15/17,185
3508050,1/16/17,165
3508050,1/17/17,186
3508050,1/18/17,188
3508050,1/19/17,160
3508050,1/20/17,226
3508050,1/21/17,209
3508050,1/22/17,271
3508050,1/23/17,881
3508050,1/24/17,671
3508050,1/25/17,585
3508050,1/26/17,313
3508050,1/27/17,316
3508050,1/28/17,309
3508050,1/29/17,278
3508050,1/30/17,200
3508050,1/31/17,200
3508050,2/1/17,113
3508050,2/2/17,92.4
3508050,2/3/17,106
3508050,2/4/17,107
3508050,2/5/17,106
3508050,2/6/17,139
3508050,2/7/17,185
3508050,2/8/17,198
3508050,2/9/17,190
3508050,2/10/17,202
3508050,2/11/17,163
3508050,2/12/17,152
3508050,2/13/17,158
3508050,2/14/17,170
3508050,2/15/17,147
3508050,2/16/17,168
3508050,2/17/17,148
3508050,2/18/17,116
3508050,2/19/17,134
3508050,2/20/17,153
3508050,2/21/17,137
3508050,2/22/17,129
3508050,2/23/17,160
3508050,2/24/17,128
3508050,2/25/17,113
3508050,2/26/17,69.9
3508050,2/27/17,89.4
3508050,2/28/17,67.6
3508050,3/1/17,92.1
3508050,3/2/17,96.3
3508050,3/3/17,48
3508050,3/4/17,329
3508050,3/5/17,510
3508050,3/6/17,604
3508050,3/7/17,687
3508050,3/8/17,731
3508050,3/9/17,793
3508050,3/10/17,766
3508050,3/11/17,533
3508050,3/12/17,389
3508050,3/13/17,221
3508050,3/14/17,213
3508050,3/15/17,116
3508050,3/16/17,111
3508050,3/17/17,116
3508050,3/18/17,102
3508050,3/19/17,98.1
3508050,3/20/17,70.4
3508050,3/21/17,70.8
3508050,3/22/17,80.5
3508050,3/23/17,73.9
3508050,3/24/17,82.1
3508050,3/25/17,166
3508050,3/26/17,205
3508050,3/27/17,89.4
3508050,3/28/17,272
3508050,3/29/17,145
3508050,3/30/17,222
3508050,3/31/17,375
3508050,4/1/17,409
3508050,4/2/17,142
3508050,4/3/17,92.5
3508050,4/4/17,157
3508050,4/5/17,98.2
3508050,4/6/17,140
3508050,4/7/17,109
3508050,4/8/17,334
3508050,4/9/17,247
3508050,4/10/17,77
3508050,4/11/17,241
3508050,4/12/17,69.6
3508050,4/13/17,64.1
3508050,4/14/17,70
3508050,4/15/17,167
3508050,4/16/17,179
3508050,4/17/17,231
3508050,4/18/17,71.7
3508050,4/19/17,382
3508050,4/20/17,266
3508050,4/21/17,141
3508050,4/22/17,268
3508050,4/23/17,706
3508050,4/24/17,862
3508050,4/25/17,798
3508050,4/26/17,802
3508050,4/27/17,657
3508050,4/28/17,559
3508050,4/29/17,528
3508050,4/30/17,532
3508050,5/1/17,678
3508050,5/2/17,846
3508050,5/3/17,810
3508050,5/4/17,680
3508050,5/5/17,827
3508050,5/6/17,778
3508050,5/7/17,765
3508050,5/8/17,725
3508050,5/9/17,589
3508050,5/10/17,356
3508050,5/11/17,384
3508050,5/12/17,388
3508050,5/13/17,410
3508050,5/14/17,471
3508050,5/15/17,555
3508050,5/16/17,277
3508050,5/17/17,425
3508050,5/18/17,431
3508050,5/19/17,328
3508050,5/20/17,416
3508050,5/21/17,568
3508050,5/22/17,752
3508050,5/23/17,775
3508050,5/24/17,742
3508050,5/25/17,737
3508050,5/26/17,580
3508050,5/27/17,416
3508050,5/28/17,472
3508050,5/29/17,536
3508050,5/30/17,414
3508050,5/31/17,346
3508050,6/1/17,294
3508050,6/2/17,176
3508050,6/3/17,134
3508050,6/4/17,237
3508050,6/5/17,182
3508050,6/6/17,213
3508050,6/7/17,295
3508050,6/8/17,412
3508050,6/9/17,309
3508050,6/10/17,358
3508050,6/11/17,238
3508050,6/12/17,143
3508050,6/13/17,167
3508050,6/14/17,235
3508050,6/15/17,314
3508050,6/16/17,136
3508050,6/17/17,308
3508050,6/18/17,228
3508050,6/19/17,145
3508050,6/20/17,161
3508050,6/21/17,242
3508050,6/22/17,229
3508050,6/23/17,210
3508050,6/24/17,239
3508050,6/25/17,234
3508050,6/26/17,186
3508050,6/27/17,199
3508050,6/28/17,241
3508050,6/29/17,238
3508050,6/30/17,270
3508050,7/1/17,404
3508050,7/2/17,296
3508050,7/3/17,280
3508050,7/4/17,297
3508050,7/5/17,288
3508050,7/6/17,337
3508050,7/7/17,254
3508050,7/8/17,293
3508050,7/9/17,303
3508050,7/10/17,295
3508050,7/11/17,267
3508050,7/12/17,266
3508050,7/13/17,281
3508050,7/14/17,204
3508050,7/15/17,306
3508050,7/16/17,260
3508050,7/17/17,195
3508050,7/18/17,302
3508050,7/19/17,249
3508050,7/20/17,318
3508050,7/21/17,216
3508050,7/22/17,338
3508050,7/23/17,363
3508050,7/24/17,252
3508050,7/25/17,311
3508050,7/26/17,257
3508050,7/27/17,314
3508050,7/28/17,214
3508050,7/29/17,245
3508050,7/30/17,175
3508050,7/31/17,184
3508050,8/1/17,206
3508050,8/2/17,279
3508050,8/3/17,272
3508050,8/4/17,150
3508050,8/5/17,353
3508050,8/6/17,150
3508050,8/7/17,173
3508050,8/8/17,164
3508050,8/9/17,266
3508050,8/10/17,259
3508050,8/11/17,207
3508050,8/12/17,451
3508050,8/13/17,193
3508050,8/14/17,197
3508050,8/15/17,198
3508050,8/16/17,258
3508050,8/17/17,260
3508050,8/18/17,149
3508050,8/19/17,334
3508050,8/20/17,147
3508050,8/21/17,310
3508050,8/22/17,146
3508050,8/23/17,253
3508050,8/24/17,146
3508050,8/25/17,210
3508050,8/26/17,425
3508050,8/27/17,146
3508050,8/28/17,137
3508050,8/29/17,147
3508050,8/30/17,251
3508050,8/31/17,158
3508050,9/1/17,167
3508050,9/2/17,263
3508050,9/3/17,259
3508050,9/4/17,148
3508050,9/5/17,186
3508050,9/6/17,79.2
3508050,9/7/17,434
3508050,9/8/17,651
3508050,9/9/17,682
3508050,9/10/17,364
3508050,9/11/17,185
3508050,9/12/17,116
3508050,9/13/17,79.6
3508050,9/14/17,69.7
3508050,9/15/17,65.2
3508050,9/16/17,168
3508050,9/17/17,59.8
3508050,9/18/17,151
3508050,9/19/17,57.7
3508050,9/20/17,56.8
3508050,9/21/17,154
3508050,9/22/17,57.3
3508050,9/23/17,149
3508050,9/24/17,56
3508050,9/25/17,138
3508050,9/26/17,56.1
3508050,9/27/17,98.6
3508050,9/28/17,98.9
3508050,9/29/17,101
3508050,9/30/17,179
3508050,10/1/17,124
3508050,10/2/17,221
3508050,10/3/17,127
3508050,10/4/17,93.2
3508050,10/5/17,85.9
3508050,10/6/17,58.4
3508050,10/7/17,349
3508050,10/8/17,970
3508050,10/9/17,1110
3508050,10/10/17,923
3508050,10/11/17,765
3508050,10/12/17,642
3508050,10/13/17,420
3508050,10/14/17,394
3508050,10/15/17,427
3508050,10/16/17,435
3508050,10/17/17,462
3508050,10/18/17,452
3508050,10/19/17,495
3508050,10/20/17,422
3508050,10/21/17,460
3508050,10/22/17,474
3508050,10/23/17,1070
3508050,10/24/17,1520
3508050,10/25/17,1010
3508050,10/26/17,716
3508050,10/27/17,736
3508050,10/28/17,789
3508050,10/29/17,744
3508050,10/30/17,708
3508050,10/31/17,709
3508050,11/1/17,701
3508050,11/2/17,660
3508050,11/3/17,593
3508050,11/4/17,390
3508050,11/5/17,387
3508050,11/6/17,430
3508050,11/7/17,386
3508050,11/8/17,448
3508050,11/9/17,449
3508050,11/10/17,429
3508050,11/11/17,459
3508050,11/12/17,480
3508050,11/13/17,497
3508050,11/14/17,473
3508050,11/15/17,471
3508050,11/16/17,480
3508050,11/17/17,494
3508050,11/18/17,431
3508050,11/19/17,465
3508050,11/20/17,425
3508050,11/21/17,436
3508050,11/22/17,433
3508050,11/23/17,434
3508050,11/24/17,420
3508050,11/25/17,426
3508050,11/26/17,426
3508050,11/27/17,374
3508050,11/28/17,336
3508050,11/29/17,142
3508050,11/30/17,257
3508050,12/1/17,223
3508050,12/2/17,308
3508050,12/3/17,248
3508050,12/4/17,247
3508050,12/5/17,251
3508050,12/6/17,285
3508050,12/7/17,208
3508050,12/8/17,214
3508050,12/9/17,155
3508050,12/10/17,251
3508050,12/11/17,226
3508050,12/12/17,241
3508050,12/13/17,238
3508050,12/14/17,221
3508050,12/15/17,168
3508050,12/16/17,161
3508050,12/17/17,151
3508050,12/18/17,153
3508050,12/19/17,156
3508050,12/20/17,231
3508050,12/21/17,243
3508050,12/22/17,211
3508050,12/23/17,213
3508050,12/24/17,213
3508050,12/25/17,231
3508050,12/26/17,280
3508050,12/27/17,234
3508050,12/28/17,121
3508050,12/29/17,137
3508050,12/30/17,158
3508050,12/31/17,165
3508050,1/1/18,220
3508050,1/2/18,142
3508050,1/3/18,206
3508050,1/4/18,202
3508050,1/5/18,257
3508050,1/6/18,259
3508050,1/7/18,216
