Serial_number:
2047750
Project ID:

Location:

LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2019/01/10,14:40:00,0,93.9094,11.574
2019/01/10,14:50:00,0,93.9008,8.785
2019/01/10,15:00:00,0,93.8953,7.722
2019/01/10,15:10:00,0,93.8905,7.292
2019/01/10,15:20:00,0,93.8825,6.993
2019/01/10,15:30:00,0,93.8883,6.901
2019/01/10,15:40:00,0,93.9018,6.764
2019/01/10,15:50:00,0,93.9247,6.417
2019/01/10,16:00:00,0,93.9280,6.187
2019/01/10,16:10:00,0,93.9362,5.999
2019/01/10,16:20:00,0,93.9409,5.663
2019/01/10,16:30:00,0,93.9435,5.276
2019/01/10,16:40:00,0,93.9498,4.818
2019/01/10,16:50:00,0,93.9626,4.546
2019/01/10,17:00:00,0,93.9687,4.181
2019/01/10,17:10:00,0,93.9702,3.917
2019/01/10,17:20:00,0,93.9812,3.599
2019/01/10,17:30:00,0,93.9904,3.330
2019/01/10,17:40:00,0,93.9917,2.993
2019/01/10,17:50:00,0,93.9946,2.664
2019/01/10,18:00:00,0,93.9969,2.423
2019/01/10,18:10:00,0,94.0112,2.162
2019/01/10,18:20:00,0,94.0181,1.974
2019/01/10,18:30:00,0,94.0297,1.818
2019/01/10,18:40:00,0,94.0369,1.689
2019/01/10,18:50:00,0,94.0376,1.549
2019/01/10,19:00:00,0,94.0394,1.423
2019/01/10,19:10:00,0,94.0495,1.270
2019/01/10,19:20:00,0,94.0404,1.226
2019/01/10,19:30:00,0,94.0430,1.117
2019/01/10,19:40:00,0,94.0494,0.984
2019/01/10,19:50:00,0,94.0587,0.910
2019/01/10,20:00:00,0,94.0627,0.930
2019/01/10,20:10:00,0,94.0692,0.780
2019/01/10,20:20:00,0,94.0728,0.658
2019/01/10,20:30:00,0,94.0859,0.567
2019/01/10,20:40:00,0,94.0888,0.509
2019/01/10,20:50:00,0,94.0951,0.401
2019/01/10,21:00:00,0,94.1071,0.354
2019/01/10,21:10:00,0,94.1094,0.256
2019/01/10,21:20:00,0,94.1177,0.194
2019/01/10,21:30:00,0,94.1196,0.169
2019/01/10,21:40:00,0,94.1231,-0.024
2019/01/10,21:50:00,0,94.1287,-0.031
2019/01/10,22:00:00,0,94.1265,-0.031
2019/01/10,22:10:00,0,94.1361,-0.051
2019/01/10,22:20:00,0,94.1451,-0.070
2019/01/10,22:30:00,0,94.1317,-0.160
2019/01/10,22:40:00,0,94.1314,-0.172
2019/01/10,22:50:00,0,94.1343,-0.215
2019/01/10,23:00:00,0,94.1345,-0.320
2019/01/10,23:10:00,0,94.1418,-0.379
2019/01/10,23:20:00,0,94.1428,-0.517
2019/01/10,23:30:00,0,94.1356,-0.554
2019/01/10,23:40:00,0,94.1364,-0.629
2019/01/10,23:50:00,0,94.1325,-0.604
2019/01/11,00:00:00,0,94.1364,-0.670
2019/01/11,00:10:00,0,94.1544,-0.662
2019/01/11,00:20:00,0,94.1531,-0.698
2019/01/11,00:30:00,0,94.1499,-0.852
2019/01/11,00:40:00,0,94.1404,-0.900
2019/01/11,00:50:00,0,94.1458,-0.927
2019/01/11,01:00:00,0,94.1576,-1.037
2019/01/11,01:10:00,0,94.1652,-1.158
2019/01/11,01:20:00,0,94.1771,-1.281
2019/01/11,01:30:00,0,94.1802,-1.257
2019/01/11,01:40:00,0,94.1953,-1.334
2019/01/11,01:50:00,0,94.2190,-1.451
2019/01/11,02:00:00,0,94.2348,-1.363
2019/01/11,02:10:00,0,94.2418,-1.468
2019/01/11,02:20:00,0,94.2436,-1.560
2019/01/11,02:30:00,0,94.2561,-1.556
2019/01/11,02:40:00,0,94.2636,-1.591
2019/01/11,02:50:00,0,94.2597,-1.683
2019/01/11,03:00:00,0,94.2602,-1.572
2019/01/11,03:10:00,0,94.2702,-1.612
2019/01/11,03:20:00,0,94.2632,-1.644
2019/01/11,03:30:00,0,94.2594,-1.712
2019/01/11,03:40:00,0,94.2500,-1.749
2019/01/11,03:50:00,0,94.2442,-1.873
2019/01/11,04:00:00,0,94.2372,-1.969
2019/01/11,04:10:00,0,94.2425,-2.063
2019/01/11,04:20:00,0,94.2444,-2.019
2019/01/11,04:30:00,0,94.2587,-2.110
2019/01/11,04:40:00,0,94.2706,-2.105
2019/01/11,04:50:00,0,94.2770,-2.139
2019/01/11,05:00:00,0,94.2780,-2.291
2019/01/11,05:10:00,0,94.2851,-2.234
2019/01/11,05:20:00,0,94.2874,-2.293
2019/01/11,05:30:00,0,94.2865,-2.241
2019/01/11,05:40:00,0,94.2996,-2.229
2019/01/11,05:50:00,0,94.3157,-2.196
2019/01/11,06:00:00,0,94.3188,-2.192
2019/01/11,06:10:00,0,94.3181,-2.174
2019/01/11,06:20:00,0,94.3214,-2.292
2019/01/11,06:30:00,0,94.3288,-2.354
2019/01/11,06:40:00,0,94.3255,-2.500
2019/01/11,06:50:00,0,94.3219,-2.570
2019/01/11,07:00:00,0,94.3296,-2.491
2019/01/11,07:10:00,0,94.3361,-2.505
2019/01/11,07:20:00,0,94.3323,-2.591
2019/01/11,07:30:00,0,94.3401,-2.563
2019/01/11,07:40:00,0,94.3562,-2.517
2019/01/11,07:50:00,0,94.3677,-2.442
2019/01/11,08:00:00,0,94.3830,-2.559
2019/01/11,08:10:00,0,94.4034,-2.603
2019/01/11,08:20:00,0,94.4163,-2.380
2019/01/11,08:30:00,0,94.4273,-2.355
2019/01/11,08:40:00,0,94.4285,-2.286
2019/01/11,08:50:00,0,94.4351,-2.138
2019/01/11,09:00:00,0,94.4547,-2.049
2019/01/11,09:10:00,0,94.4734,-2.031
2019/01/11,09:20:00,0,94.4784,-1.890
2019/01/11,09:30:00,0,94.4858,-1.462
2019/01/11,09:40:00,0,94.4998,-0.511
2019/01/11,09:50:00,0,94.4973,-0.206
2019/01/11,10:00:00,0,94.4978,-0.507
2019/01/11,10:10:00,0,94.5108,0.121
2019/01/11,10:20:00,0,94.5140,1.107
2019/01/11,10:30:00,0,94.5180,1.924
2019/01/11,10:40:00,0,94.5197,2.949
2019/01/11,10:50:00,0,94.5038,3.841
2019/01/11,11:00:00,0,94.4829,4.094
2019/01/11,11:10:00,0,94.4753,4.676
2019/01/11,11:20:00,0,94.4717,5.745
2019/01/11,11:30:00,0,94.4533,6.537
2019/01/11,11:40:00,0,94.4413,7.474
2019/01/11,11:50:00,0,94.4240,8.281
2019/01/11,12:00:00,0,94.4090,8.891
2019/01/11,12:10:00,0,94.3891,9.318
2019/01/11,12:20:00,0,94.3707,9.622
2019/01/11,12:30:00,0,94.3517,9.921
2019/01/11,12:40:00,0,94.3245,9.830
2019/01/11,12:50:00,0,94.3070,10.325
2019/01/11,13:00:00,0,94.2894,10.890
2019/01/11,13:10:00,0,94.2672,11.015
2019/01/11,13:20:00,0,94.2514,10.759
2019/01/11,13:30:00,0,94.2338,10.491
2019/01/11,13:40:00,0,94.2287,10.636
2019/01/11,13:50:00,0,94.2283,11.092
2019/01/11,14:00:00,0,94.2225,11.320
2019/01/11,14:10:00,0,94.2117,10.958
2019/01/11,14:20:00,0,94.2047,10.265
2019/01/11,14:30:00,0,94.1991,9.757
2019/01/11,14:40:00,0,94.2035,9.611
2019/01/11,14:50:00,0,94.1997,9.733
2019/01/11,15:00:00,0,94.1875,9.846
2019/01/11,15:10:00,0,94.1933,9.820
2019/01/11,15:20:00,0,94.1988,9.804
2019/01/11,15:30:00,0,94.1931,9.889
2019/01/11,15:40:00,0,94.1886,9.957
2019/01/11,15:50:00,0,94.1851,9.697
2019/01/11,16:00:00,0,94.1897,9.034
2019/01/11,16:10:00,0,94.1949,8.186
2019/01/11,16:20:00,0,94.2021,7.406
2019/01/11,16:30:00,0,94.2080,6.706
2019/01/11,16:40:00,0,94.2152,6.099
2019/01/11,16:50:00,0,94.2209,5.555
2019/01/11,17:00:00,0,94.2196,5.065
2019/01/11,17:10:00,0,94.2185,4.691
2019/01/11,17:20:00,0,94.2218,4.439
2019/01/11,17:30:00,0,94.2340,4.350
2019/01/11,17:40:00,0,94.2520,4.389
2019/01/11,17:50:00,0,94.2580,4.508
2019/01/11,18:00:00,0,94.2667,4.671
2019/01/11,18:10:00,0,94.2763,4.824
2019/01/11,18:20:00,0,94.2784,4.955
2019/01/11,18:30:00,0,94.2635,5.013
2019/01/11,18:40:00,0,94.2515,5.048
2019/01/11,18:50:00,0,94.2609,5.085
2019/01/11,19:00:00,0,94.2745,5.084
2019/01/11,19:10:00,0,94.2982,5.090
2019/01/11,19:20:00,0,94.3057,5.076
2019/01/11,19:30:00,0,94.2897,5.064
2019/01/11,19:40:00,0,94.3099,4.984
2019/01/11,19:50:00,0,94.2989,4.865
2019/01/11,20:00:00,0,94.2958,4.676
2019/01/11,20:10:00,0,94.2877,4.487
2019/01/11,20:20:00,0,94.3004,4.361
2019/01/11,20:30:00,0,94.3241,4.269
2019/01/11,20:40:00,0,94.3436,4.282
2019/01/11,20:50:00,0,94.3597,4.302
2019/01/11,21:00:00,0,94.3722,4.292
2019/01/11,21:10:00,0,94.3971,4.268
2019/01/11,21:20:00,0,94.4094,4.189
2019/01/11,21:30:00,0,94.4201,4.237
2019/01/11,21:40:00,0,94.4376,4.292
2019/01/11,21:50:00,0,94.4636,4.411
2019/01/11,22:00:00,0,94.4648,4.520
2019/01/11,22:10:00,0,94.4416,4.599
2019/01/11,22:20:00,0,94.4645,4.713
2019/01/11,22:30:00,0,94.4763,4.789
2019/01/11,22:40:00,0,94.4778,4.841
2019/01/11,22:50:00,0,94.4784,4.904
2019/01/11,23:00:00,0,94.4672,4.962
2019/01/11,23:10:00,0,94.4782,4.996
2019/01/11,23:20:00,0,94.4643,5.031
2019/01/11,23:30:00,0,94.4675,4.967
2019/01/11,23:40:00,0,94.4724,4.918
2019/01/11,23:50:00,0,94.4738,4.803
2019/01/12,00:00:00,0,94.4987,4.665
2019/01/12,00:10:00,0,94.4910,4.555
2019/01/12,00:20:00,0,94.4954,4.573
